id,X,Y,name,line
0,0,0,Abbesses,12
1,0,0,Alexandre Dumas,2
2,0,0,Alma Marceau,9
3,0,0,Alésia,4
5,0,0,Anvers,2
6,0,0,Argentine,1
7,0,0,Arts et Métiers,11
8,0,0,Arts et Métiers,3
9,0,0,Assemblée Nationale,12
11,0,0,Avenue Émile Zola,10
12,0,0,Avron,2
13,0,0,Barbès Rochechouart,2
14,0,0,Barbès Rochechouart,4
16,0,0,Bastille,1
17,0,0,Bastille,5
18,0,0,Bastille,8
19,0,0,Bel Air,6
20,0,0,Belleville,11
21,0,0,Belleville,2
22,0,0,Bercy,14
23,0,0,Bercy,6
24,0,0,Bibliothèque François Mitterand,14
26,0,0,Bir-Hakeim,6
27,0,0,Blanche,2
30,0,0,Boissière,6
31,0,0,Bolivar,7b
32,0,0,Bonne Nouvelle,8
33,0,0,Bonne Nouvelle,9
34,0,0,Botzaris,7b
35,0,0,Boucicaut,8
38,0,0,Bourse,3
39,0,0,Brochant,13
40,0,0,Bréguet-Sabin,5
41,0,0,Buttes Chaumont,7b
42,0,0,Buzenval,9
44,0,0,Cadet,7
45,0,0,Cambronne,6
46,0,0,Campo-Formio,5
47,0,0,Cardinal Lemoine,10
49,0,0,Censier Daubenton,7
50,0,0,"Champs Élysées, Clémenceau",1
51,0,0,"Champs Élysées, Clémenceau",13
54,0,0,Charles Michels,10
55,0,0,"Charles de Gaulle, Étoile",1
56,0,0,"Charles de Gaulle, Étoile",2
57,0,0,"Charles de Gaulle, Étoile",6
58,0,0,Charonne,9
59,0,0,"Chaussée d'Antin, La Fayette",7
60,0,0,"Chaussée d'Antin, La Fayette",9
61,0,0,Chemin Vert,8
62,0,0,Chevaleret,6
63,0,0,Château Landon,7
64,0,0,Château Rouge,4
65,0,0,Château d'Eau,4
67,0,0,Châtelet,1
68,0,0,Châtelet,11
69,0,0,Châtelet,14
70,0,0,Châtelet,4
71,0,0,Châtelet,7
73,0,0,Cité,4
74,0,0,"Cluny, La Sorbonne",10
75,0,0,Colonel Fabien,2
76,0,0,Commerce,8
77,0,0,Concorde,1
78,0,0,Concorde,12
79,0,0,Concorde,8
80,0,0,Convention,12
82,0,0,Corentin-Cariou,7
83,0,0,Corvisart,6
84,0,0,Cour Saint-Émilion,14
85,0,0,Courcelles,2
86,0,0,Couronnes,2
87,0,0,Crimée,7
93,0,0,Daumesnil,6
94,0,0,Daumesnil,8
95,0,0,Denfert Rochereau,4
96,0,0,Denfert Rochereau,6
97,0,0,Dugommier,6
98,0,0,Dupleix,6
99,0,0,Duroc,10
100,0,0,Duroc,13
101,0,0,Edgar Quinet,6
103,0,0,Europe,3
104,0,0,Exelmans,9
105,0,0,Faidherbe-Chaligny,8
106,0,0,Falguière,12
107,0,0,Filles du Calvaire,8
109,0,0,Franklin D. Roosevelt,1
110,0,0,Franklin D. Roosevelt,9
111,0,0,Félix Faure,8
113,0,0,Gaité,13
115,0,0,Gambetta,3
116,0,0,Gambetta,3b
117,0,0,Gare d'Austerlitz,10
118,0,0,Gare d'Austerlitz,5
119,0,0,Gare de Lyon,1
120,0,0,Gare de Lyon,14
121,0,0,Gare de l'Est,4
122,0,0,Gare de l'Est,5
123,0,0,Gare de l'Est,7
124,0,0,Gare du Nord,4
125,0,0,Gare du Nord,5
127,0,0,George V,1
128,0,0,Glacière,6
129,0,0,Goncourt,11
131,0,0,Guy Môquet,13
132,0,0,Havre Caumartin,3
133,0,0,Havre Caumartin,9
135,0,0,Hôtel de Ville,1
136,0,0,Hôtel de Ville,11
137,0,0,Invalides,13
138,0,0,Invalides,8
139,0,0,Iéna,9
140,0,0,Jacques Bonsergent,5
141,0,0,Jasmin,9
142,0,0,Jaurès,2
143,0,0,Jaurès,5
144,0,0,Jaurès,7b
145,0,0,Javel,10
146,0,0,Jourdain,11
147,0,0,Jules Joffrin,12
148,0,0,Jussieu,10
149,0,0,Jussieu,7
150,0,0,Kléber,6
151,0,0,La Chapelle,2
153,0,0,La Fourche,13
154,0,0,"La Motte Picquet, Grenelle",10
155,0,0,"La Motte Picquet, Grenelle",6
156,0,0,"La Motte Picquet, Grenelle",8
157,0,0,La Muette,9
158,0,0,La Tour-Maubourg,8
159,0,0,Lamarck Caulaincourt,12
160,0,0,Laumière,5
162,0,0,Le Peletier,7
163,0,0,Ledru Rollin,8
164,0,0,Les Gobelins,7
165,0,0,Les Halles,4
168,0,0,Liège,13
169,0,0,Louis Blanc,7
170,0,0,Louis Blanc,7b
172,0,0,Lourmel,8
173,0,0,"Louvre, Rivoli",1
174,0,0,Mabillon,10
175,0,0,Madeleine,12
176,0,0,Madeleine,14
177,0,0,Madeleine,8
184,0,0,Maison Blanche,7
189,0,0,Malesherbes,3
190,0,0,Maraîchers,9
191,0,0,Marcadet Poissonniers,12
192,0,0,Marcadet Poissonniers,4
194,0,0,Marx Dormoy,12
195,0,0,Maubert Mutualité,10
197,0,0,Michel Ange Auteuil,9
199,0,0,Michel Ange Molitor,9
200,0,0,Michel Bizot,8
202,0,0,Miromesnil,13
203,0,0,Miromesnil,9
204,0,0,Monceau,2
205,0,0,Montgallet,8
206,0,0,Montparnasse Bienvenue,12
207,0,0,Montparnasse Bienvenue,13
208,0,0,Montparnasse Bienvenue,4
209,0,0,Montparnasse Bienvenue,6
210,0,0,Mouton-Duvernet,4
211,0,0,Ménilmontant,2
212,0,0,Nation,1
213,0,0,Nation,2
214,0,0,Nation,6
215,0,0,Nation,9
216,0,0,Nationale,6
217,0,0,Notre Dame de Lorette,12
218,0,0,Notre-Dame-des-Champs,12
219,0,0,Oberkampf,5
220,0,0,Oberkampf,9
221,0,0,Odéon,10
222,0,0,Odéon,4
223,0,0,Opéra,3
224,0,0,Opéra,7
225,0,0,Opéra,8
226,0,0,Ourcq,5
227,0,0,"Palais Royal, Musée du Louvre",1
228,0,0,"Palais Royal, Musée du Louvre",7
229,0,0,Parmentier,3
230,0,0,Passy,6
231,0,0,Pasteur,12
232,0,0,Pasteur,6
233,0,0,Pelleport,3b
234,0,0,Pernety,13
235,0,0,Philippe-Auguste,2
236,0,0,Picpus,6
238,0,0,Pigalle,12
239,0,0,Pigalle,2
240,0,0,Place Balard,8
241,0,0,Place Monge,7
242,0,0,Place d'Italie,5
243,0,0,Place d'Italie,6
244,0,0,Place d'Italie,7
245,0,0,Place de Clichy,13
246,0,0,Place de Clichy,2
247,0,0,Place des Fêtes,11
249,0,0,Plaisance,13
250,0,0,Poissonnière,7
254,0,0,Pont-Marie,7
255,0,0,Pont-Neuf,7
256,0,0,Porte Dauphine,2
257,0,0,Porte Dorée,8
258,0,0,Porte Maillot,1
260,0,0,Porte d'Italie,7
261,0,0,Porte d'Ivry,7
262,0,0,Porte d'Orléans,4
263,0,0,Porte de Bagnolet,3
264,0,0,Porte de Champerret,3
265,0,0,Porte de Charenton,8
266,0,0,Porte de Choisy,7
267,0,0,Porte de Clichy,13
268,0,0,Porte de Clignancourt,4
269,0,0,Porte de Montreuil,9
270,0,0,Porte de Pantin,5
271,0,0,Porte de Saint-Cloud,9
272,0,0,Porte de Saint-Ouen,13
273,0,0,Porte de Vanves,13
274,0,0,Porte de Versailles,12
275,0,0,Porte de Vincennes,1
276,0,0,Porte de la Chapelle,12
277,0,0,Porte de la Villette,7
278,0,0,Porte des Lilas,11
279,0,0,Porte des Lilas,3b
281,0,0,Pyramides,14
282,0,0,Pyramides,7
283,0,0,Pyrénées,11
284,0,0,Père Lachaise,2
285,0,0,Père Lachaise,3
286,0,0,Péreire,3
287,0,0,Quai de la Gare,6
288,0,0,Quai de la Rapée,5
289,0,0,Quatre Septembre,3
290,0,0,Rambuteau,11
291,0,0,Ranelagh,9
292,0,0,Raspail,4
293,0,0,Raspail,6
294,0,0,Rennes,12
295,0,0,Reuilly Diderot,1
296,0,0,Reuilly Diderot,8
297,0,0,Richard Lenoir,5
298,0,0,Richelieu Drouot,8
299,0,0,Richelieu Drouot,9
300,0,0,Riquet,7
302,0,0,Rome,2
303,0,0,"Rue Montmartre, Grands Boulevards",8
304,0,0,"Rue Montmartre, Grands Boulevards",9
305,0,0,Rue Saint-Maur,3
306,0,0,Rue de la Pompe,9
307,0,0,Rue des Boulets,9
308,0,0,Rue du Bac,12
309,0,0,Réaumur Sébastopol,3
310,0,0,Réaumur Sébastopol,4
311,0,0,République,11
312,0,0,République,3
313,0,0,République,5
314,0,0,République,8
315,0,0,République,9
316,0,0,Saint-Ambroise,9
317,0,0,Saint-Augustin,9
320,0,0,Saint-Fargeau,3b
321,0,0,Saint-Francois Xavier,13
322,0,0,Saint-Georges,12
323,0,0,Saint-Germain-des-Prés,4
324,0,0,Saint-Jacques,6
325,0,0,Saint-Lazare,12
326,0,0,Saint-Lazare,13
327,0,0,Saint-Lazare,3
329,0,0,Saint-Marcel,5
330,0,0,Saint-Michel,4
331,0,0,"Saint-Paul, Le Marais",1
332,0,0,Saint-Philippe du Roule,9
333,0,0,Saint-Placide,4
334,0,0,Saint-Sulpice,4
335,0,0,Saint-Sébastien-Froissart,8
336,0,0,Sentier,3
337,0,0,Simplon,4
338,0,0,Solférino,12
339,0,0,Stalingrad,2
340,0,0,Stalingrad,5
341,0,0,Stalingrad,7
342,0,0,Strasbourg Saint-Denis,4
343,0,0,Strasbourg Saint-Denis,8
344,0,0,Strasbourg Saint-Denis,9
345,0,0,Sully Morland,7
346,0,0,Sèvres Babylone,10
347,0,0,Sèvres Babylone,12
348,0,0,Sèvres Lecourbe,6
349,0,0,Ségur,10
350,0,0,Temple,3
351,0,0,Ternes,2
352,0,0,Tolbiac,7
353,0,0,Trinité d'Estienne d'Orves,12
354,0,0,Trocadéro,6
355,0,0,Trocadéro,9
356,0,0,Tuileries,1
357,0,0,Télégraphe,11
358,0,0,Vaneau,10
359,0,0,Varenne,13
360,0,0,Vaugirard,12
361,0,0,Vavin,4
362,0,0,Victor Hugo,2
366,0,0,Villiers,2
367,0,0,Villiers,3
368,0,0,Volontaires,12
369,0,0,Voltaire,9
370,0,0,Wagram,3
371,0,0,École Militaire,8
375,0,0,Étienne Marcel,4
